"Entry","Date","Sub Name","Subsidiary","acctnumber","internal id","location","account name","Debit","Credit","Comment","Payment Type"
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","10006","654","20","Guest Ledger","","8053.23","",""
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","10130","715","20","Cash in Bank : Cash in Ckg-CROWN INC-WFB-3384","11990.65","","VISA/MASTER","VISA/MASTER"
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","10130","715","20","Cash in Bank : Cash in Ckg-CROWN INC-WFB-3384","4714.54","","AMEX","AMEX"
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","20103","662","20","Tax Payable: Tourist Tax Payable","","786.57","CITY TAX",""
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","40110","634","20","Revenue - Direct Booking","","7845.39","ROOM CHRG REVENUE",""
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","40120","635","20","Revenues : Other Revenue","","80.00","MISC. CHARGE",""
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","40120","635","20","Revenues : Other Revenue","","20.00","PET FEE 20",""
"WR2020250714","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","35","40120","635","20","Revenues : Other Revenue","80.00","","MISC. ADJUSTMENT",""
